Start_Time,City,State,Average_Severity
2016-07-10,Los Angeles,CA,2.4285714285714284
2016-07-10,Miami,AZ,4.0
2016-07-10,Miami,FL,2.6153846153846154
2016-07-10,Nashville,TN,3.0
2016-07-10,Phoenix,AZ,3.3333333333333335
2016-07-10,Pittsburgh,PA,4.0
2016-07-10,San Diego,CA,2.5
2016-07-10,San Francisco,CA,2.5
2016-07-10,Seattle,WA,2.6
2016-07-11,Atlanta,GA,2.6296296296296298
2016-07-11,Charlotte,NC,2.0
2016-07-11,Chicago,IL,2.5
2016-07-11,Dallas,TX,2.52
2016-07-11,Detroit,MI,2.4
2016-07-11,Houston,TX,2.2151898734177213
2016-07-11,Indianapolis,IN,2.0
2016-07-11,Jacksonville,FL,2.0
2016-07-11,Kansas City,MO,2.0
2016-07-11,Las Vegas,NV,2.1666666666666665
2016-07-11,Los Angeles,CA,2.473684210526316
2016-07-11,Miami,FL,2.5517241379310347
2016-07-11,Minneapolis,MN,2.0
2016-07-11,Nashville,TN,2.0
2016-07-11,New York,NY,2.3333333333333335
2016-07-11,Philadelphia,PA,2.3333333333333335
2016-07-11,Phoenix,AZ,2.0
2016-07-11,Pittsburgh,PA,2.4285714285714284
2016-07-11,Portland,OR,2.0
2016-07-11,San Antonio,FL,2.0
2016-07-11,San Antonio,TX,2.25
2016-07-11,San Diego,CA,2.6
2016-07-11,San Francisco,CA,2.0
2016-07-11,Seattle,WA,2.0
2016-07-12,Albuquerque,NM,2.0
2016-07-12,Atlanta,GA,2.5813953488372094
2016-07-12,Boston,MA,2.5
2016-07-12,Charlotte,NC,2.0555555555555554
2016-07-12,Chicago,IL,2.1538461538461537
2016-07-12,Dallas,TX,2.5454545454545454
2016-07-12,Denver,CO,2.5
2016-07-12,Denver,PA,2.0
2016-07-12,Detroit,MI,2.4444444444444446
2016-07-12,Houston,TX,2.2151898734177213
2016-07-12,Jacksonville,FL,2.0
2016-07-12,Kansas City,KS,2.5
2016-07-12,Kansas City,MO,2.3333333333333335
2016-07-12,Los Angeles,CA,2.4909090909090907
2016-07-12,Miami,FL,2.3666666666666667
2016-07-12,Minneapolis,MN,2.0
2016-07-12,Nashville,TN,2.0
2016-07-12,New York,NY,2.2222222222222223
2016-07-12,Philadelphia,PA,2.2857142857142856
2016-07-12,Phoenix,AZ,2.111111111111111
2016-07-12,Pittsburgh,PA,2.0
2016-07-12,San Antonio,TX,2.588235294117647
2016-07-12,San Diego,CA,2.888888888888889
2016-07-12,San Francisco,CA,2.6666666666666665
2016-07-12,Seattle,WA,2.14
2016-07-13,Albuquerque,NM,2.0
2016-07-13,Atlanta,GA,2.6739130434782608
2016-07-13,Boston,MA,2.0
2016-07-13,Charlotte,NC,2.0689655172413794
2016-07-13,Chicago,IL,2.6
2016-07-13,Dallas,TX,2.6
2016-07-13,Denver,CO,2.857142857142857
2016-07-13,Detroit,MI,2.4444444444444446
2016-07-13,Houston,TX,2.2717391304347827
2016-07-13,Indianapolis,IN,2.0
2016-07-13,Jacksonville,FL,2.0
2016-07-13,Kansas City,KS,2.0
2016-07-13,Kansas City,MO,2.125
2016-07-13,Los Angeles,CA,2.5
2016-07-13,Miami,FL,2.2
2016-07-13,Minneapolis,MN,2.3333333333333335
2016-07-13,Nashville,TN,2.0
2016-07-13,New York,NY,2.3333333333333335
2016-07-13,Philadelphia,PA,2.272727272727273
2016-07-13,Phoenix,AZ,2.1818181818181817
2016-07-13,Pittsburgh,PA,2.0
2016-07-13,San Antonio,FL,3.0
2016-07-13,San Antonio,TX,2.3448275862068964
2016-07-13,San Diego,CA,2.736842105263158
2016-07-13,San Francisco,CA,2.0
2016-07-13,Seattle,WA,2.0754716981132075
2016-07-14,Atlanta,GA,2.5
2016-07-14,Charlotte,NC,2.0
2016-07-14,Chicago,IL,2.625
2016-07-14,Dallas,TX,2.4651162790697674
2016-07-14,Denver,CO,2.0
2016-07-14,Detroit,MI,2.6666666666666665
2016-07-14,Houston,TX,2.25
2016-07-14,Indianapolis,IN,3.0
2016-07-14,Jacksonville,FL,4.0
2016-07-14,Kansas City,MO,2.0
2016-07-14,Los Angeles,CA,2.484848484848485
2016-07-14,Miami,FL,2.380952380952381
2016-07-14,Minneapolis,MN,2.0
2016-07-14,Nashville,TN,2.5
2016-07-14,New York,NY,2.0
2016-07-14,Philadelphia,PA,2.5
2016-07-14,Phoenix,AZ,2.0
2016-07-14,Pittsburgh,PA,2.2857142857142856
2016-07-14,San Antonio,TX,2.3076923076923075
2016-07-14,San Diego,CA,2.8
2016-07-14,San Francisco,CA,3.0
2016-07-14,Seattle,WA,2.0869565217391304
2016-07-15,Atlanta,GA,2.696969696969697
2016-07-15,Boston,MA,2.0
2016-07-15,Chicago,IL,2.5
2016-07-15,Dallas,TX,2.3529411764705883
2016-07-15,Denver,CO,2.2
2016-07-15,Denver,PA,2.0
2016-07-15,Detroit,MI,2.5
2016-07-15,Houston,TX,2.339622641509434
2016-07-15,Jacksonville,FL,4.0
2016-07-15,Kansas City,KS,2.5
2016-07-15,Kansas City,MO,3.0
2016-07-15,Los Angeles,CA,2.5357142857142856
2016-07-15,Miami,FL,2.25
2016-07-15,Minneapolis,MN,2.0
2016-07-15,New York,NY,2.3333333333333335
2016-07-15,Philadelphia,PA,2.4444444444444446
2016-07-15,Phoenix,AZ,2.0833333333333335
2016-07-15,Pittsburgh,PA,2.6666666666666665
2016-07-15,San Antonio,FL,3.0
2016-07-15,San Antonio,TX,2.24
2016-07-15,San Diego,CA,2.76
2016-07-15,San Francisco,CA,2.75
2016-07-15,Seattle,WA,2.1666666666666665
2016-07-16,Atlanta,GA,3.1
2016-07-16,Dallas,TX,2.4444444444444446
2016-07-16,Denver,CO,3.0
2016-07-16,Detroit,MI,2.5
2016-07-16,Houston,TX,2.212121212121212
2016-07-16,Kansas City,KS,2.0
2016-07-16,Kansas City,MO,2.0
2016-07-16,Los Angeles,CA,2.388888888888889
2016-07-16,Miami,FL,2.533333333333333
2016-07-16,Nashville,TN,2.0
2016-07-16,Philadelphia,PA,3.0
2016-07-16,Portland,OR,2.0
2016-07-16,San Antonio,TX,3.0
2016-07-16,San Diego,CA,2.0
2016-07-16,San Francisco,CA,2.0
2016-07-17,Chicago,IL,2.0
2016-07-17,Dallas,TX,3.0
2016-07-17,Houston,TX,3.0
2016-07-17,Los Angeles,CA,2.8
2016-07-17,Miami,FL,3.0
2016-07-17,Minneapolis,MN,2.0
2016-07-17,San Diego,CA,2.0
2016-07-18,Albuquerque,NM,3.0
2016-07-18,Atlanta,GA,2.6315789473684212
2016-07-18,Charlotte,NC,2.0
2016-07-18,Chicago,IL,2.6
2016-07-18,Dallas,TX,2.5277777777777777
2016-07-18,Denver,CO,3.3333333333333335
2016-07-18,Detroit,MI,2.8
2016-07-18,Houston,TX,2.212121212121212
2016-07-18,Kansas City,KS,2.3333333333333335
2016-07-18,Kansas City,MO,2.0
2016-07-18,Las Vegas,NV,2.25
2016-07-18,Los Angeles,CA,2.3442622950819674
2016-07-18,Miami,FL,2.5217391304347827
2016-07-18,Minneapolis,MN,2.0
2016-07-18,Nashville,TN,2.0
2016-07-18,New York,NY,2.111111111111111
2016-07-18,Philadelphia,PA,2.25
2016-07-18,Phoenix,AZ,2.125
2016-07-18,Pittsburgh,PA,2.0
2016-07-18,San Antonio,FL,2.0
2016-07-18,San Antonio,TX,2.35
2016-07-18,San Diego,CA,2.5833333333333335
2016-07-18,Seattle,WA,2.066666666666667
2016-07-19,Atlanta,GA,2.6666666666666665
2016-07-19,Boston,MA,2.0
2016-07-19,Charlotte,NC,2.0
2016-07-19,Chicago,IL,2.6923076923076925
2016-07-19,Dallas,TX,2.3404255319148937
2016-07-19,Denver,CO,2.0
2016-07-19,Detroit,MI,2.3
2016-07-19,Houston,TX,2.25
2016-07-19,Indianapolis,IN,2.5
2016-07-19,Jacksonville,FL,2.0
2016-07-19,Kansas City,MO,2.6666666666666665
2016-07-19,Las Vegas,NV,2.0
2016-07-19,Los Angeles,CA,2.3703703703703702
2016-07-19,Miami,FL,2.2857142857142856
2016-07-19,Minneapolis,MN,2.125
2016-07-19,Nashville,TN,2.0
2016-07-19,New York,NY,2.0
2016-07-19,Philadelphia,PA,2.3333333333333335
2016-07-19,Philadelphia,TN,4.0
2016-07-19,Phoenix,AZ,2.375
2016-07-19,Pittsburgh,PA,2.0
2016-07-19,San Antonio,TX,2.269230769230769
2016-07-19,San Diego,CA,2.533333333333333
2016-07-19,San Francisco,CA,2.5
2016-07-19,Seattle,WA,2.1538461538461537
2016-07-20,Atlanta,GA,2.5454545454545454
2016-07-20,Boston,MA,2.0
2016-07-20,Charlotte,NC,2.0
2016-07-20,Chicago,IL,2.6363636363636362
2016-07-20,Dallas,TX,2.230769230769231
2016-07-20,Denver,CO,3.0
2016-07-20,Denver,PA,2.0
2016-07-20,Detroit,MI,2.3076923076923075
2016-07-20,Houston,TX,2.2804878048780486
2016-07-20,Indianapolis,IN,3.0
2016-07-20,Jacksonville,FL,2.0
2016-07-20,Kansas City,KS,2.0
2016-07-20,Kansas City,MO,2.25
2016-07-20,Las Vegas,NV,2.1052631578947367
2016-07-20,Los Angeles,CA,2.426470588235294
2016-07-20,Miami,FL,2.3333333333333335
2016-07-20,Minneapolis,MN,2.0
2016-07-20,Nashville,TN,2.0
2016-07-20,New York,NY,2.0
2016-07-20,Philadelphia,PA,2.25
2016-07-20,Phoenix,AZ,2.0
2016-07-20,Pittsburgh,PA,2.6
2016-07-20,Portland,OR,2.0
2016-07-20,San Antonio,TX,2.1666666666666665
2016-07-20,San Diego,CA,2.6315789473684212
2016-07-20,San Francisco,CA,2.6666666666666665
2016-07-20,Seattle,WA,2.0303030303030303
2016-07-20,Vancouver,WA,3.0
2016-07-21,Albuquerque,NM,2.0
2016-07-21,Atlanta,GA,2.7586206896551726
2016-07-21,Boston,MA,2.5
2016-07-21,Charlotte,NC,2.0
2016-07-21,Chicago,IL,2.8095238095238093
2016-07-21,Dallas,TX,2.4313725490196076
2016-07-21,Denver,CO,2.0
2016-07-21,Detroit,MI,2.411764705882353
2016-07-21,Houston,TX,2.2790697674418605
2016-07-21,Indianapolis,IN,2.5
2016-07-21,Kansas City,KS,2.0
2016-07-21,Kansas City,MO,3.0
2016-07-21,Las Vegas,NV,2.0
2016-07-21,Los Angeles,CA,2.409090909090909
2016-07-21,Miami,FL,2.4242424242424243
2016-07-21,Minneapolis,MN,2.0
2016-07-21,Nashville,TN,2.5
2016-07-21,New York,NY,2.6
2016-07-21,Philadelphia,PA,2.3333333333333335
2016-07-21,Phoenix,AZ,2.142857142857143
2016-07-21,Pittsburgh,PA,2.6666666666666665
2016-07-21,Portland,OR,2.0
2016-07-21,San Antonio,TX,2.375
2016-07-21,San Diego,CA,2.739130434782609
2016-07-21,San Francisco,CA,2.375
2016-07-21,Seattle,WA,2.14
2016-07-21,Vancouver,WA,3.0
2016-07-22,Albuquerque,NM,2.0
2016-07-22,Atlanta,GA,2.7777777777777777
2016-07-22,Boston,MA,2.2857142857142856
2016-07-22,Charlotte,NC,2.0
2016-07-22,Chicago,IL,2.6875
2016-07-22,Dallas,TX,2.3
2016-07-22,Denver,CO,3.0
2016-07-22,Detroit,MI,2.4444444444444446
2016-07-22,Houston,TX,2.225806451612903
2016-07-22,Jacksonville,FL,2.25
2016-07-22,Kansas City,KS,2.0
2016-07-22,Kansas City,MO,2.1666666666666665
2016-07-22,Las Vegas,NV,2.0588235294117645
2016-07-22,Los Angeles,CA,2.402439024390244
2016-07-22,Miami,FL,2.533333333333333
2016-07-22,Minneapolis,MN,2.0
2016-07-22,Nashville,TN,2.3333333333333335
2016-07-22,New York,NY,2.25
2016-07-22,Philadelphia,PA,2.3
2016-07-22,Phoenix,AZ,2.6666666666666665
2016-07-22,Pittsburgh,PA,3.0
2016-07-22,Portland,OR,2.0
2016-07-22,San Antonio,TX,2.28
2016-07-22,San Diego,CA,2.5238095238095237
2016-07-22,San Francisco,CA,2.4
2016-07-22,Seattle,WA,2.1515151515151514
