Date,City,State,Weather_Score,Average_Severity
2016-07-11,Houston,TX,1.6426600969511311,2.2151898734177213
2016-07-11,Seattle,WA,1.533643535539218,2.0
2016-07-12,Phoenix,AZ,1.397282400969813,2.111111111111111
2016-07-12,Los Angeles,CA,1.669222601125934,2.4909090909090907
2016-07-12,San Diego,CA,1.8391906220986411,2.888888888888889
2016-07-12,San Francisco,CA,1.7141853487433316,2.6666666666666665
2016-07-12,Denver,CO,1.2647773483240208,2.5
2016-07-12,Denver,CO,1.2647773483240208,2.5
2016-07-12,Jacksonville,FL,1.5710809220019273,2.0
2016-07-12,Miami,FL,1.6094396741182428,2.3666666666666667
2016-07-12,Atlanta,GA,1.4795055910720647,2.581395348837209
2016-07-12,Chicago,IL,1.5110695410674817,2.1538461538461537
2016-07-12,Kansas City,KS,1.4494473104740204,2.5
2016-07-12,Kansas City,KS,1.4494473104740204,2.5
2016-07-12,Boston,MA,1.7648888114603083,2.5
2016-07-12,Detroit,MI,1.5996344984227564,2.4444444444444446
2016-07-12,Minneapolis,MN,1.7381095059673488,2.0
2016-07-12,Charlotte,NC,1.6171512087930495,2.055555555555556
2016-07-12,Albuquerque,NM,1.310366475196378,2.0
2016-07-12,New York,NY,1.442071674030428,2.2222222222222223
2016-07-12,Philadelphia,PA,1.5686290281966142,2.2857142857142856
2016-07-12,Pittsburgh,PA,1.2778421529609558,2.0
2016-07-12,Nashville,TN,1.6542255453069312,2.0
2016-07-12,Dallas,TX,1.5408913572184362,2.5454545454545454
2016-07-12,Houston,TX,1.6232963384035837,2.2151898734177213
2016-07-12,San Antonio,TX,1.4919954312734367,2.588235294117647
2016-07-12,Seattle,WA,1.3535677443711789,2.14
2016-07-13,Phoenix,AZ,1.382293369965438,2.1818181818181817
2016-07-13,Los Angeles,CA,1.6750005601321305,2.5
2016-07-13,San Diego,CA,1.7600558833788462,2.736842105263158
2016-07-13,San Francisco,CA,1.7916320487734572,2.0
2016-07-13,Denver,CO,1.3132731442866237,2.857142857142857
2016-07-13,Jacksonville,FL,1.555884172226842,2.0
2016-07-13,Miami,FL,1.6269272646117194,2.2
2016-07-13,San Antonio,FL,1.6978679680480124,3.0
2016-07-13,San Antonio,FL,1.6978679680480124,3.0
2016-07-13,Atlanta,GA,1.532751284045182,2.6739130434782608
2016-07-13,Chicago,IL,1.7120041635025929,2.6
2016-07-13,Indianapolis,IN,1.539914611065693,2.0
2016-07-13,Kansas City,KS,1.23405677913998,2.0
2016-07-13,Kansas City,KS,1.23405677913998,2.0
2016-07-13,Boston,MA,1.7065905660042413,2.0
2016-07-13,Detroit,MI,1.865572089041041,2.4444444444444446
2016-07-13,Minneapolis,MN,1.5724572882246284,2.333333333333333
2016-07-13,Charlotte,NC,1.5989902259812794,2.0689655172413794
2016-07-13,Albuquerque,NM,1.4388021543224454,2.0
2016-07-13,New York,NY,1.4357351965619616,2.333333333333333
2016-07-13,Philadelphia,PA,1.4320091032703397,2.272727272727273
2016-07-13,Pittsburgh,PA,1.6263084208658354,2.0
2016-07-13,Nashville,TN,1.5200557603692302,2.0
2016-07-13,Dallas,TX,1.520139221325155,2.6
2016-07-13,Houston,TX,1.5131933656649856,2.2717391304347827
2016-07-13,Seattle,WA,1.3940997259584684,2.0754716981132075
2016-07-14,Phoenix,AZ,1.3387636937719134,2.0
2016-07-14,Los Angeles,CA,1.3015381275777602,2.484848484848485
2016-07-14,San Diego,CA,1.4752164687117248,2.8
2016-07-14,San Francisco,CA,1.4854574913247591,3.0
2016-07-14,Denver,CO,1.5093080145163469,2.0
2016-07-14,Jacksonville,FL,1.2915917799606147,4.0
2016-07-14,Miami,FL,1.6784462919745935,2.380952380952381
2016-07-14,Atlanta,GA,1.8668169157576875,2.5
2016-07-14,Chicago,IL,1.3256389041502088,2.625
2016-07-14,Indianapolis,IN,1.4984198315509445,3.0
2016-07-14,Detroit,MI,1.6172960315659382,2.6666666666666665
2016-07-14,Minneapolis,MN,1.8815871710526293,2.0
2016-07-14,Kansas City,MO,1.661439546100455,2.0
2016-07-14,Charlotte,NC,1.4652266593056062,2.0
2016-07-14,New York,NY,1.719628300997039,2.0
2016-07-14,Philadelphia,PA,1.719318824070945,2.5
2016-07-14,Pittsburgh,PA,1.6793754326756545,2.2857142857142856
2016-07-14,Nashville,TN,1.6246303996303797,2.5
2016-07-14,Dallas,TX,1.8861234542862024,2.4651162790697674
2016-07-14,Houston,TX,1.4779113588737651,2.25
