City,Date,Score
Detroit,2016-01-15,1.7736276143154956
Houston,2016-01-15,1.602551726535129
Indianapolis,2016-01-15,1.5043189929806173
Jacksonville,2016-01-15,1.4238423646309621
Kansas City,2016-01-15,1.6555807569144578
Las Vegas,2016-01-15,1.3646822107619048
Los Angeles,2016-01-15,1.386003151254375
Miami,2016-01-15,1.5029752855210163
Minneapolis,2016-01-15,1.2820424531850605
Nashville,2016-01-15,1.5380695317146427
New York,2016-01-15,1.8076365158693242
Philadelphia,2016-01-15,1.550903741450584
Phoenix,2016-01-15,1.6531659812029034
Pittsburgh,2016-01-15,1.720447874958343
Portland,2016-01-15,1.6073198527240329
San Antonio,2016-01-15,1.6691541634012226
San Diego,2016-01-15,1.5632919995943397
San Francisco,2016-01-15,1.3471122549428862
Seattle,2016-01-15,1.3987930138080826
Vancouver,2016-01-15,1.5615230268545843
Albuquerque,2016-01-16,1.2605852725233173
Atlanta,2016-01-16,2.0074303745744637
Boston,2016-01-16,1.4463404082288878
Charlotte,2016-01-16,1.8561595690901243
Chicago,2016-01-16,1.3697486580531362
Dallas,2016-01-16,1.182424755768565
Denver,2016-01-16,1.622213741430887
Detroit,2016-01-16,1.5874221464103424
Houston,2016-01-16,1.4873839900198411
Indianapolis,2016-01-16,1.5339639230827264
Jacksonville,2016-01-16,1.6522237201205168
Kansas City,2016-01-16,1.643206615812681
Las Vegas,2016-01-16,1.2800820370415444
Los Angeles,2016-01-16,1.4536109060940288
Miami,2016-01-16,1.4193168746568015
Minneapolis,2016-01-16,1.7977081156186645
Nashville,2016-01-16,1.5860767289631212
New York,2016-01-16,1.6178341901038549
Philadelphia,2016-01-16,1.516831358128042
Phoenix,2016-01-16,1.7006110314270266
Pittsburgh,2016-01-16,1.535531789485598
Portland,2016-01-16,1.4385330823141174
San Antonio,2016-01-16,1.4652658975252693
San Diego,2016-01-16,1.1880905937891781
San Francisco,2016-01-16,1.7830597045546495
Seattle,2016-01-16,1.467696066187479
