City,ongelukken,lat,lng
Littlerock,80,34.5232,-117.9808
Chatsworth,271,34.7808,-84.7835
Laguna Hills,167,33.5918,-117.6991
Agoura Hills,297,34.151,-118.7609
Desert Hot Springs,189,33.955,-116.5429
Indio,70,33.7346,-116.2346
Duarte,353,34.161,-117.9504
Stanton,18,33.8003,-117.9935
Ojai,106,34.4488,-119.2469
Winchester,395,39.1735,-78.1746
Castaic,431,34.4818,-118.6316
Silverado,53,33.7482,-117.6285
Rancho Santa Fe,81,33.024,-117.1992
Lakeside,337,30.1356,-81.7674
Coronado,46,32.6649,-117.1604
Potrero,21,32.6131,-116.6068
Ladera Ranch,162,33.5492,-117.6417
Fillmore,149,34.3989,-118.9174
Marina del Rey,66,33.9765,-118.4486
Palm Springs,34,33.8017,-116.5382
Descanso,26,32.8696,-116.6279
Pine Valley,52,32.8415,-116.5107
Cabazon,133,33.9127,-116.7828
Palmdale,503,34.5944,-118.1057
Loma Linda,86,34.045,-117.2498
Carpinteria,196,34.3962,-119.5118
Cathedral City,11,33.8362,-116.4642
La Verne,195,34.1207,-117.7703
Aguanga,64,33.4522,-116.8555
Bonita,150,32.6651,-117.0296
Newport Beach,61,33.6151,-117.8668
Wildomar,124,33.6173,-117.2582
Lemon Grove,248,32.7331,-117.0344
Malibu,320,34.037,-118.7839
Lucerne Valley,51,34.4427,-116.9021
Phelan,216,34.4398,-117.5248
Laguna Niguel,87,33.5275,-117.705
Nuevo,46,33.8011,-117.1414
Trabuco Canyon,45,33.6782,-117.5939
Palm Desert,136,33.7378,-116.3695
Lakewood,589,39.6977,-105.1172
Boulevard,46,32.664,-116.2896
Mountain Center,42,33.7112,-116.7248
Goleta,273,34.4361,-119.8594
Santa Paula,141,34.3545,-119.0656
La Palma,87,33.8504,-118.0407
Winnetka,56,42.1064,-87.7421
Vernon,47,34.1479,-99.3
La Habra,20,33.9282,-117.9515
Signal Hill,104,33.803,-118.1681
Claremont,517,34.1259,-117.7153
Sun City,230,33.6165,-112.2819
Montrose,344,38.4689,-107.859
Wrightwood,64,34.3495,-117.63
Yucaipa,79,34.0336,-117.0429
Chino Hills,164,33.9508,-117.7254
Jamul,94,32.7184,-116.8709
El Segundo,158,33.917,-118.4018
Crestline,65,34.2486,-117.2887
Rolling Hills Estates,16,33.7783,-118.3509
Thousand Oaks,151,34.1914,-118.8756
Llano,77,30.7509,-98.6763
Campo,35,32.6394,-116.4744
Anza,25,33.5678,-116.6966
Los Alamitos,316,33.7971,-118.0592
Oak Hills,23,45.5405,-122.8413
Venice,484,27.1184,-82.4137
Lake Forest,676,33.6605,-117.6714
Laguna Beach,33,33.5455,-117.7613
Aliso Viejo,31,33.5792,-117.7289
Santa Rosa Valley,11,34.2459,-118.9018
Joshua Tree,33,34.1236,-116.3128
Somis,93,34.2652,-118.9984
Midway City,49,33.7452,-117.9849
San Marino,21,34.1224,-118.1132
Temple City,20,34.1022,-118.0579
Sugarloaf,8,40.0189,-105.4078
Maywood,113,33.9886,-118.1877
La Habra Heights,5,33.9603,-117.951
Oak View,44,34.403,-119.299
Apple Valley,70,34.5352,-117.2109
Redondo Beach,73,33.8577,-118.3765
Hawaiian Gardens,89,33.8304,-118.0728
Yucca Valley,38,34.1234,-116.4216
Whitewater,104,42.8372,-88.7341
Blue Jay,5,39.2308,-84.7441
Irwindale,2,34.1121,-117.9636
Morongo Valley,35,34.0724,-116.5627
Universal City,41,29.5521,-98.3074
Poway,54,32.9871,-117.0201
Bell,5,33.9801,-118.1798
Bermuda Dunes,19,33.7435,-116.2874
West Hollywood,11,34.0883,-118.3719
Lompoc,55,34.6618,-120.4714
Borrego Springs,11,33.241,-116.3571
Northridge,18,39.9971,-83.777
Cherry Valley,28,33.9797,-116.9694
Rancho Santa Margarita,48,33.6318,-117.5988
Rancho Mirage,17,33.7635,-116.4271
Big Bear Lake,15,34.2429,-116.8951
Summerland,32,34.4244,-119.5938
Bell Canyon,4,34.2082,-118.6876
Cypress,64,33.8171,-118.0386
Dana Point,5,33.4733,-117.6967
Beverly Hills,35,34.0786,-118.4021
Rancho Palos Verdes,3,33.7554,-118.3634
Port Hueneme,2,34.1618,-119.2036
La Quinta,2,33.6536,-116.2785
Adelanto,15,34.5814,-117.4397
Piru,12,34.4064,-118.8019
Hidden Hills,4,34.1637,-118.6612
Lytle Creek,6,34.2499,-117.5044
West Hills,6,40.8199,-73.4339
Sunset Beach,1,33.892,-78.5107
Imperial Beach,2,32.5693,-117.118
Manhattan Beach,7,33.8894,-118.3967
Indian Wells,1,33.7036,-116.3396
Cudahy,6,33.9631,-118.183
Lomita,9,33.7933,-118.3175
Villa Park,937,41.8865,-87.9779
Lake Sherwood,2,34.134,-118.8804
