datetime,Temp,Humidity,Wind_Speed_km,Temp_bins,Humidity_bins,Wind_Speed_bins,date,count,count_bins,Temp_norm,Humid_norm,weather_score
2016-11-22,287.8883333333333,71.41666666666667,0.1601786853860881,Low,Medium,Medium,November,77,High,0.2561219390304861,0.6868076535750253,1.1031082779915995
2016-11-23,287.745,72.45833333333333,0.1697511167836631,Low,Medium,Medium,November,58,High,0.2663549177792057,0.6993957703927492,1.135501804955618
2016-11-24,288.7199184375,38.0,0.12061263560944481,Low,Low,Low,November,40,Medium,0.19675268764427492,0.28298086606243705,0.6003461893161568
2016-11-25,289.3975,24.20833333333333,0.11231652839821317,Low,Low,Low,November,52,Medium,0.1483781918564551,0.11631419939577035,0.3770089196504386
2016-11-26,285.9579166666667,67.83333333333333,0.1231652839821315,Low,Medium,Low,November,26,Low,0.3939399347945066,0.6435045317220544,1.1606097504986925
2016-11-27,284.93416666666667,86.33333333333333,0.5641352903637525,Low,High,High,November,23,Low,0.46702839056662077,0.867069486404834,1.8982331673352073
2016-11-28,285.2183333333333,53.5,0.2565411614550096,Low,Low,Medium,November,73,High,0.446740915256659,0.47029204431017124,1.1735741210218398
2016-11-29,286.3808333333333,72.66666666666667,0.13337587747287813,Low,Medium,Low,November,54,Medium,0.363746698079532,0.7019133937562942,1.1990359693087045
2016-11-30,286.117946175,49.41666666666666,0.17038927887683475,Low,Low,Medium,November,91,High,0.3825149681111834,0.42094662638469277,0.9738508733727109
2016-12-01,284.60580204166666,49.0,0.14613911933631146,Low,Low,Low,December,85,High,0.49047128519073757,0.4159113796576033,1.0525217841846524
2016-12-02,291.74120842083335,38.958333333333336,0.16336949585194643,Medium,Low,Medium,December,79,High,0.01650068447919326,0.29456193353474325,0.47443211386588297
2016-12-03,284.94870191666666,66.875,0.45628589661774094,Low,Medium,High,December,30,Low,0.4659906772804071,0.6319234642497483,1.5542000381478962
2016-12-04,290.10999610833335,72.29166666666667,0.3024888321633695,Medium,Medium,Medium,December,50,Medium,0.09751104626258307,0.6973816717019136,1.097381550127866
2016-12-05,292.5154166666667,79.66666666666667,0.37204850031908104,Medium,High,High,December,57,High,0.07177363699103251,0.7865055387714001,1.2303276760815136
2016-12-06,290.9220833333333,86.5,0.0446713465220166,Medium,High,Low,December,57,High,0.039533804526310695,0.8690835850956699,0.9532887361439972
2016-12-07,295.6135709083333,68.375,0.42693044033184435,High,Medium,High,December,58,High,0.2929597754694091,0.6500503524672709,1.3699405682685244
2016-12-08,296.90708333333333,71.91666666666667,0.037013401403956606,High,Medium,Low,December,43,Medium,0.38530734632683833,0.6928499496475329,1.1151706973783277
2016-12-09,293.21666666666664,76.70833333333333,0.3529036375239311,Medium,High,High,December,75,High,0.12183789057852133,0.7507552870090635,1.225496815111516
