date,Temperature,count
2016-11-25,Not Freezing,384.0
2016-11-26,Not Freezing,120.0
2016-11-27,Freezing,72.0
2016-11-28,Not Freezing,528.0
2016-11-29,Not Freezing,552.0
2016-11-30,Not Freezing,336.0
2016-12-01,Freezing,432.0
2016-12-02,Freezing,264.0
2016-12-03,Freezing,24.0
2016-12-04,Not Freezing,216.0
2016-12-05,Not Freezing,672.0
2016-12-06,Not Freezing,240.0
2016-12-07,Not Freezing,288.0
2016-12-08,Not Freezing,384.0
2016-12-09,Not Freezing,360.0
2016-12-10,Not Freezing,312.0
2016-12-11,Freezing,312.0
2016-12-12,Freezing,744.0
2016-12-13,Freezing,192.0
2016-12-14,Freezing,384.0
2016-12-15,Freezing,456.0
2016-12-16,Freezing,576.0
2016-12-17,Freezing,504.0
2016-12-18,Freezing,144.0
2016-12-19,Freezing,504.0
2016-12-20,Freezing,384.0
2016-12-21,Freezing,408.0
2016-12-22,Freezing,456.0
2016-12-23,Freezing,168.0
2016-12-24,Not Freezing,192.0
2016-12-25,Not Freezing,264.0
2016-12-26,Not Freezing,144.0
2016-12-27,Freezing,120.0
2016-12-28,Freezing,192.0
2016-12-29,Not Freezing,264.0
2016-12-30,Freezing,192.0
2016-12-31,Freezing,96.0
2017-01-02,Freezing,48.0
2017-01-03,Not Freezing,240.0
2017-01-04,Not Freezing,120.0
2017-01-05,Not Freezing,408.0
2017-01-06,Not Freezing,504.0
2017-01-07,Not Freezing,24.0
2017-01-08,Not Freezing,96.0
2017-01-09,Not Freezing,480.0
2017-01-10,Not Freezing,360.0
2017-01-11,Not Freezing,600.0
2017-01-13,Freezing,504.0
2017-01-14,Freezing,168.0
2017-01-15,Freezing,48.0
2017-01-16,Freezing,456.0
2017-01-17,Not Freezing,360.0
2017-01-18,Not Freezing,168.0
2017-01-19,Not Freezing,360.0
2017-01-20,Not Freezing,360.0
2017-01-21,Not Freezing,96.0
2017-01-22,Not Freezing,192.0
2017-01-23,Not Freezing,528.0
2017-01-24,Not Freezing,288.0
2017-01-25,Not Freezing,336.0
2017-01-26,Not Freezing,312.0
2017-01-27,Freezing,360.0
2017-01-28,Freezing,216.0
2017-01-29,Freezing,168.0
2017-01-30,Freezing,360.0
2017-01-31,Freezing,456.0
2017-02-01,Freezing,840.0
2017-02-02,Freezing,480.0
2017-02-03,Freezing,240.0
2017-02-04,Not Freezing,312.0
2017-02-05,Not Freezing,192.0
2017-02-06,Not Freezing,384.0
2017-02-07,Not Freezing,480.0
2017-02-08,Not Freezing,336.0
2017-02-09,Not Freezing,216.0
2017-02-10,Not Freezing,360.0
2017-02-11,Not Freezing,144.0
2017-02-13,Freezing,216.0
2017-02-14,Freezing,264.0
2017-02-15,Freezing,216.0
2017-02-16,Freezing,504.0
2017-02-17,Freezing,360.0
2017-02-18,Not Freezing,144.0
2017-02-19,Freezing,96.0
2017-02-20,Freezing,312.0
2017-02-21,Not Freezing,120.0
2017-02-22,Not Freezing,264.0
2017-02-23,Not Freezing,264.0
2017-02-24,Not Freezing,120.0
2017-02-25,Freezing,72.0
2017-02-26,Freezing,96.0
2017-02-27,Not Freezing,432.0
2017-02-28,Not Freezing,360.0
2017-03-01,Not Freezing,864.0
2017-03-02,Freezing,408.0
2017-03-03,Freezing,216.0
2017-03-04,Not Freezing,144.0
2017-03-05,Not Freezing,96.0
2017-03-06,Not Freezing,384.0
2017-03-07,Not Freezing,600.0
2017-03-08,Not Freezing,264.0
2017-03-09,Not Freezing,120.0
2017-03-10,Not Freezing,216.0
2017-03-11,Not Freezing,168.0
2017-03-13,Freezing,552.0
2017-03-14,Freezing,336.0
2017-03-15,Freezing,240.0
2017-03-16,Freezing,552.0
2017-03-17,Freezing,240.0
2017-03-18,Not Freezing,144.0
2017-03-19,Not Freezing,96.0
2017-03-20,Not Freezing,408.0
2017-03-21,Not Freezing,264.0
2017-03-22,Freezing,144.0
2017-03-23,Freezing,72.0
2017-03-24,Not Freezing,456.0
2017-03-25,Not Freezing,96.0
2017-03-26,Not Freezing,144.0
2017-03-27,Not Freezing,384.0
2017-03-28,Not Freezing,408.0
2017-03-29,Not Freezing,216.0
2017-03-30,Not Freezing,792.0
2017-03-31,Not Freezing,240.0
2017-04-01,Freezing,168.0
2017-04-02,Freezing,240.0
2017-04-03,Freezing,360.0
2017-04-04,Not Freezing,384.0
2017-04-05,Not Freezing,456.0
2017-04-06,Not Freezing,504.0
2017-04-07,Not Freezing,192.0
2017-04-08,Not Freezing,240.0
2017-04-09,Not Freezing,144.0
2017-04-10,Not Freezing,408.0
2017-04-11,Not Freezing,336.0
2017-04-13,Not Freezing,288.0
2017-04-14,Not Freezing,216.0
2017-04-15,Not Freezing,120.0
2017-04-16,Not Freezing,192.0
2017-04-17,Not Freezing,360.0
2017-04-18,Not Freezing,312.0
2017-04-19,Not Freezing,240.0
2017-04-20,Not Freezing,384.0
2017-04-21,Not Freezing,168.0
2017-04-22,Not Freezing,144.0
2017-04-23,Not Freezing,72.0
2017-04-24,Not Freezing,264.0
2017-04-25,Not Freezing,216.0
2017-04-26,Not Freezing,336.0
2017-04-27,Not Freezing,480.0
2017-04-28,Not Freezing,336.0
2017-04-29,Not Freezing,168.0
2017-04-30,Not Freezing,216.0
2017-05-01,Freezing,576.0
2017-05-02,Freezing,336.0
2017-05-03,Freezing,408.0
2017-05-04,Not Freezing,672.0
2017-05-05,Not Freezing,552.0
2017-05-06,Not Freezing,96.0
2017-05-07,Not Freezing,144.0
2017-05-08,Not Freezing,576.0
2017-05-09,Not Freezing,264.0
2017-05-10,Not Freezing,168.0
2017-05-11,Not Freezing,264.0
2017-05-13,Not Freezing,216.0
2017-05-14,Not Freezing,192.0
2017-05-15,Not Freezing,360.0
2017-05-16,Not Freezing,48.0
2017-05-17,Not Freezing,216.0
2017-05-18,Not Freezing,288.0
2017-05-19,Not Freezing,192.0
2017-05-20,Not Freezing,168.0
2017-05-21,Not Freezing,576.0
2017-05-22,Not Freezing,168.0
2017-05-23,Not Freezing,432.0
2017-05-24,Not Freezing,264.0
2017-05-25,Not Freezing,168.0
2017-05-26,Not Freezing,120.0
2017-05-28,Not Freezing,24.0
2017-05-29,Not Freezing,24.0
2017-05-30,Not Freezing,192.0
2017-05-31,Not Freezing,24.0
2017-06-01,Freezing,288.0
2017-06-02,Freezing,360.0
2017-06-03,Not Freezing,144.0
2017-06-04,Not Freezing,72.0
2017-06-05,Not Freezing,168.0
2017-06-06,Not Freezing,120.0
2017-06-07,Not Freezing,408.0
2017-06-08,Not Freezing,216.0
2017-06-09,Not Freezing,624.0
2017-06-10,Not Freezing,144.0
2017-06-11,Not Freezing,168.0
2017-06-13,Not Freezing,360.0
2017-06-14,Not Freezing,336.0
2017-06-15,Not Freezing,576.0
2017-06-16,Not Freezing,432.0
2017-06-17,Not Freezing,288.0
2017-06-18,Not Freezing,120.0
2017-06-19,Not Freezing,168.0
2017-06-20,Not Freezing,336.0
2017-06-21,Not Freezing,240.0
2017-06-22,Not Freezing,408.0
2017-06-23,Not Freezing,408.0
2017-06-24,Not Freezing,48.0
2017-06-25,Not Freezing,144.0
2017-06-26,Not Freezing,264.0
2017-06-27,Not Freezing,264.0
2017-06-28,Not Freezing,384.0
2017-06-29,Not Freezing,96.0
2017-06-30,Not Freezing,600.0
2017-07-01,Freezing,72.0
2017-07-02,Not Freezing,120.0
2017-07-03,Not Freezing,144.0
2017-07-04,Not Freezing,72.0
2017-07-05,Not Freezing,360.0
2017-07-06,Not Freezing,168.0
2017-07-07,Not Freezing,384.0
2017-07-08,Not Freezing,48.0
2017-07-09,Not Freezing,216.0
2017-07-10,Not Freezing,432.0
2017-07-11,Not Freezing,432.0
2017-07-13,Not Freezing,432.0
2017-07-14,Not Freezing,216.0
2017-07-15,Not Freezing,96.0
2017-07-16,Not Freezing,48.0
2017-07-17,Not Freezing,96.0
2017-07-18,Not Freezing,192.0
2017-07-19,Not Freezing,360.0
2017-07-20,Not Freezing,240.0
2017-07-21,Not Freezing,288.0
2017-07-22,Not Freezing,168.0
2017-07-23,Not Freezing,144.0
2017-07-24,Not Freezing,144.0
2017-07-25,Not Freezing,288.0
2017-07-26,Not Freezing,240.0
2017-07-27,Not Freezing,288.0
2017-07-28,Not Freezing,168.0
2017-07-29,Not Freezing,192.0
2017-07-30,Not Freezing,144.0
2017-07-31,Not Freezing,120.0
2017-08-01,Freezing,360.0
2017-08-02,Freezing,312.0
2017-08-03,Not Freezing,216.0
2017-08-04,Not Freezing,240.0
2017-08-05,Not Freezing,216.0
2017-08-06,Not Freezing,120.0
2017-08-07,Not Freezing,120.0
2017-08-08,Not Freezing,216.0
2017-08-09,Not Freezing,144.0
2017-08-10,Not Freezing,360.0
2017-08-11,Freezing,192.0
2017-08-13,Not Freezing,48.0
2017-08-14,Not Freezing,216.0
2017-08-15,Not Freezing,360.0
2017-08-16,Not Freezing,384.0
2017-08-17,Not Freezing,600.0
2017-08-18,Not Freezing,288.0
2017-08-19,Not Freezing,168.0
2017-08-20,Not Freezing,192.0
2017-08-21,Not Freezing,48.0
2017-08-22,Not Freezing,312.0
2017-08-23,Not Freezing,528.0
2017-08-24,Not Freezing,216.0
2017-08-25,Not Freezing,312.0
2017-08-26,Not Freezing,168.0
2017-08-27,Not Freezing,120.0
2017-08-28,Not Freezing,576.0
2017-08-29,Not Freezing,480.0
